cc_a,cc_b,type,gap_log2,gap_hex,bits_a,bits_b,root_a,root_b
14,16,cross,59,0x953284b39cdecd2,72,72,0xb3d106dba2693a091d,0xb3da5a03eda307f5ef
14,16,cross,61,0x3ae8d514521f30ba,73,73,0x1de43f7259241aeb885,0x1de7edffaa693cde93f
14,16,cross,62,0x42c5944075a4219c,73,73,0x1f4adfa1d7d42b363d5,0x1f46b34893ccd0f4239
14,17,cross,75,0xfcd6a03095949c695da,88,88,0xfe4f342126cd30076ef96d,0xfe5f018b29d68951358f47
14,17,cross,79,0x93f23be5e79bf27e6cba,88,88,0xfef2f3c70fbe2543b3fc01,0xfe5f018b29d68951358f47
15,16,cross,60,0x13a30eae2760b2aa,72,72,0xe2cd9bb8317bfd2fc5,0xe2b9f8a983549c7d1b
15,16,cross,62,0x479cd923b66260f0,73,73,0x1dec67cd3ca4a304a2f,0x1de7edffaa693cde93f
15,16,cross,62,0x4f398cf28f98dfa6,73,73,0x1f714429eaccf2f68b1,0x1f7637c2b9f5ec84857
15,17,cross,81,0x3eaf7d541f447d676e12e,89,88,0x10249f9606bcad127ac7075,0xfe5f018b29d68951358f47
15,17,cross,83,0xf256074c31119bf31282c,88,88,0xef39a11666c56f9204671b,0xfe5f018b29d68951358f47
16,17,cross,85,0x2139c76fd5516e972a23c6,88,88,0xdd253a1b54851aba0b6b81,0xfe5f018b29d68951358f47
16,17,cross,87,0x81151b06d133f003272f26,89,88,0x17f741c91fb0a79545cbe6d,0xfe5f018b29d68951358f47
