cc,bits,count,imm_3,imm_3_pct,safe_3,safe_3_pct,imm_5,imm_5_pct,safe_5,safe_5_pct,imm_7,imm_7_pct,safe_7,safe_7_pct,imm_11,imm_11_pct,safe_11,safe_11_pct,imm_13,imm_13_pct,safe_13,safe_13_pct,imm_17,imm_17_pct,safe_17,safe_17_pct,imm_19,imm_19_pct,safe_19,safe_19_pct,imm_23,imm_23_pct,safe_23,safe_23_pct,imm_29,imm_29_pct,safe_29,safe_29_pct,imm_31,imm_31_pct,safe_31,safe_31_pct,safe_all,safe_all_pct
13,18,15,12,80.00,12,80.00,12,80.00,12,80.00,2,13.33,15,100.00,12,80.00,12,80.00,12,80.00,12,80.00,2,13.33,15,100.00,7,46.67,15,100.00,0,0.00,14,93.33,0,0.00,14,93.33,1,6.67,15,100.00,12,80.00
13,19,120,88,73.33,88,73.33,88,73.33,88,73.33,16,13.33,109,90.83,88,73.33,88,73.33,88,73.33,88,73.33,9,7.50,103,85.83,55,45.83,120,100.00,8,6.67,105,87.50,10,8.33,108,90.00,3,2.50,116,96.67,88,73.33
13,20,662,377,56.95,377,56.95,377,56.95,377,56.95,99,14.95,531,80.21,377,56.95,377,56.95,377,56.95,377,56.95,56,8.46,503,75.98,298,45.02,662,100.00,32,4.83,523,79.00,56,8.46,540,81.57,15,2.27,613,92.60,377,56.95
13,21,2343,1986,84.76,1986,84.76,1986,84.76,1986,84.76,517,22.07,2178,92.96,1986,84.76,1986,84.76,1986,84.76,1986,84.76,206,8.79,2150,91.76,1141,48.70,2343,100.00,175,7.47,2168,92.53,194,8.28,2181,93.09,70,2.99,2291,97.78,1986,84.76
13,22,71,71,100.00,71,100.00,71,100.00,71,100.00,16,22.54,71,100.00,71,100.00,71,100.00,71,100.00,71,100.00,7,9.86,71,100.00,34,47.89,71,100.00,3,4.23,71,100.00,5,7.04,71,100.00,6,8.45,71,100.00,71,100.00
13,23,9,9,100.00,9,100.00,9,100.00,9,100.00,3,33.33,9,100.00,9,100.00,9,100.00,9,100.00,9,100.00,1,11.11,9,100.00,9,100.00,9,100.00,1,11.11,9,100.00,2,22.22,9,100.00,1,11.11,9,100.00,9,100.00
13,24,1198,1198,100.00,1198,100.00,1198,100.00,1198,100.00,282,23.54,1198,100.00,1198,100.00,1198,100.00,1198,100.00,1198,100.00,140,11.69,1198,100.00,1197,99.92,1198,100.00,98,8.18,1198,100.00,98,8.18,1198,100.00,40,3.34,1198,100.00,1198,100.00
13,25,2792,2792,100.00,2792,100.00,2792,100.00,2792,100.00,704,25.21,2792,100.00,2792,100.00,2792,100.00,2792,100.00,2792,100.00,327,11.71,2792,100.00,2756,98.71,2792,100.00,248,8.88,2792,100.00,264,9.46,2792,100.00,114,4.08,2792,100.00,2792,100.00
13,26,13,13,100.00,13,100.00,13,100.00,13,100.00,0,0.00,13,100.00,13,100.00,13,100.00,13,100.00,13,100.00,2,15.38,13,100.00,13,100.00,13,100.00,1,7.69,13,100.00,1,7.69,13,100.00,0,0.00,13,100.00,13,100.00
13,27,1,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,1,100.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,1,100.00,1,100.00
14,18,5,3,60.00,3,60.00,3,60.00,3,60.00,1,20.00,3,60.00,3,60.00,3,60.00,3,60.00,3,60.00,1,20.00,3,60.00,3,60.00,5,100.00,0,0.00,5,100.00,0,0.00,5,100.00,0,0.00,5,100.00,3,60.00
14,19,22,15,68.18,15,68.18,15,68.18,15,68.18,5,22.73,21,95.45,15,68.18,15,68.18,15,68.18,15,68.18,1,4.55,19,86.36,7,31.82,22,100.00,1,4.55,20,90.91,2,9.09,20,90.91,0,0.00,22,100.00,15,68.18
14,20,126,76,60.32,76,60.32,76,60.32,76,60.32,17,13.49,94,74.60,76,60.32,76,60.32,76,60.32,76,60.32,9,7.14,98,77.78,52,41.27,126,100.00,6,4.76,104,82.54,12,9.52,101,80.16,4,3.17,120,95.24,76,60.32
14,21,454,383,84.36,383,84.36,383,84.36,383,84.36,100,22.03,422,92.95,383,84.36,383,84.36,383,84.36,383,84.36,26,5.73,408,89.87,246,54.19,454,100.00,35,7.71,419,92.29,35,7.71,420,92.51,22,4.85,444,97.80,383,84.36
14,22,14,14,100.00,14,100.00,14,100.00,14,100.00,4,28.57,14,100.00,14,100.00,14,100.00,14,100.00,14,100.00,2,14.29,14,100.00,2,14.29,14,100.00,1,7.14,14,100.00,0,0.00,14,100.00,2,14.29,14,100.00,14,100.00
14,23,2,2,100.00,2,100.00,2,100.00,2,100.00,0,0.00,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,1,50.00,2,100.00,2,100.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,2,100.00
14,24,218,218,100.00,218,100.00,218,100.00,218,100.00,47,21.56,218,100.00,218,100.00,218,100.00,218,100.00,218,100.00,27,12.39,218,100.00,218,100.00,218,100.00,12,5.50,218,100.00,25,11.47,218,100.00,7,3.21,218,100.00,218,100.00
14,25,482,482,100.00,482,100.00,482,100.00,482,100.00,106,21.99,482,100.00,482,100.00,482,100.00,482,100.00,482,100.00,67,13.90,482,100.00,476,98.76,482,100.00,44,9.13,482,100.00,40,8.30,482,100.00,19,3.94,482,100.00,482,100.00
15,19,8,5,62.50,5,62.50,5,62.50,5,62.50,0,0.00,6,75.00,5,62.50,5,62.50,5,62.50,5,62.50,0,0.00,6,75.00,3,37.50,8,100.00,2,25.00,5,62.50,1,12.50,6,75.00,0,0.00,8,100.00,5,62.50
15,20,31,20,64.52,20,64.52,20,64.52,20,64.52,4,12.90,24,77.42,20,64.52,20,64.52,20,64.52,20,64.52,3,9.68,24,77.42,12,38.71,31,100.00,1,3.23,25,80.65,6,19.35,24,77.42,1,3.23,27,87.10,20,64.52
