cc,bits,count,pairs,min_gap_log2,median_gap_log2,mean_gap_log2,min_gap_hex,median_gap_hex,mean_gap_hex,max_gap_hex
11,69,23,22,54,58,63,0x446891f16630de,0x40553fb9fa1328e,0xae7c884bba1c5c37,0xa37a383ce190c02ec
11,80,1,0,,,,,,
11,81,1,0,,,,,,
11,82,11,10,73,76,77,0x38d7ffd6c2006294320,0x1fd1061c8a2319cea962,0x2f00d5be9e610efe89f9,0x9220223700ff3684746a
11,83,48,47,66,75,76,0x45b4fc3f08bfbd968,0xbee715742c778d463be,0x14a3b93d05a86064f1f6,0xb310966cdc67e54e9972
11,84,206,205,58,74,75,0x55201929e4e492a,0x465c5ec2c682bea4896,0x9df5ab66c2cb92e7b91,0x76ff664010c9a138d5c2
11,85,805,804,58,72,74,0x6a1b7334fa6d4c0,0x1c03a7128e02a7d5082,0x50c914710c80cc98a90,0x4748b622cab47e47cdde
11,86,3054,3053,54,71,73,0x5c9ff4712e315c,0xc37382e80d40c6b692,0x2ae7af2117063813bd4,0x4c46699bcdc4627c48ae
11,87,8130,8129,52,66,73,0x1154a29631e36a,0x60b33b8a620c833f4,0x203f6c7f0134c3abc7c,0x2f5bb5bbce678ea7962e
11,88,25268,25267,51,64,72,0xaaefab99becbe,0x1c28bb124ce906534,0x14bfea176ed5df9ace6,0x2ad91cfd1599eaf61f32
11,89,25107,25106,46,72,73,0x4a618454e23e,0x1ab55caf1ddde7afad2,0x29c41573e7bcbb26058,0x20122539b3214215235c
11,90,47626,47625,49,72,73,0x3272d36fa4f28,0x195855ce3f32f4320fe,0x2c08bd6c0abf53580ef,0x230632f65c51c5d74a90
11,91,21226,21225,51,75,75,0xb4005a48edee8,0x8a8eecdf4421a3e1b42,0xc59603cae0175a562b0,0x77764c9834e00bd1b1f2
11,92,476,475,72,81,82,0x150cb52b2213c537d46,0x2e7538cfeb9be7afe9dd4,0x44af0d026d17ad34faa74,0x158bbcace91fa66e40baa0
11,93,211,210,77,83,84,0x2c12b0cc469970f38b74,0xddf67121cf50a7a8ce329,0x1335b8ea05ab27107015a7,0x615ce3162880d05df10d72
11,94,139,138,77,85,85,0x2224fcc6d4145711e672,0x283212e3ee52f0b01174dd,0x39ec34d458ea0801aaecb3,0x12aef2813dc0d6b3e8d8152
11,95,49,48,82,87,88,0x43dfb66b38903cc9faf00,0xd590fb2dd1c5000bca5256,0x136026ad8a5bca7f247a480,0x5fffdb04f8d35fde031a23c
11,96,30,29,85,89,89,0x2f85c00a6cf40587bb1378,0x3438428586f8e2de75658f2,0x3db149569f59affbf99007b,0x8cc25828f5c6ba4d87c3872
11,97,32,31,87,90,90,0xc82598c7cb33c7a476a05c,0x67501ef35a5288f69fd5ee0,0x7efabe3b4f2b41034d63cd8,0x193ad7df4c04923308c67ebe
11,98,24,23,87,91,92,0xa168d750c5a4eaef1a341c,0xb09c51f65463c1350fc29c2,0x14134effbc9a354adc12b3bb,0x436a8286744d23ad65ba763e
11,99,40,39,82,92,92,0x5a01bb9d054ff5c4d5ffc,0x144bbce6d358a1d1653a1f08,0x194bc5b868d8d07ca158088c,0x6993caea69a73937ebf09694
