gap_log2,gap_hex,gap_decimal_approx,cc,bits,root1_hex,root2_hex
50,0x64b08b0f9f236,1771350561255990,10,90,0x27ceaded4cacf273f86ffc3,0x27ceaded4d11a2ff080f1f9
50,0x64eb87bbe86aa,1775404117296810,10,88,0x8765f4052c7ac20462a755,0x8765f40532c97a80212dff
50,0x65326fcfd288a,1780276778576010,10,90,0x3c1b750ff241041043cb4c7,0x3c1b750ff2a63680139dd51
50,0x65670ce1165a2,1783892353836450,10,88,0x8f1af53e58b365a5eab6b3,0x8f1af53e5f09d673fc1c55
50,0x658da650fffca,1786544881926090,10,89,0x171742ca6a55b9f6e73e40b,0x171742ca6abb479d383e3d5
50,0x65adb40a4058e,1788747589092750,10,90,0x3e510df24dd27a883c24181,0x3e510df24e38283c466470f
50,0x661c82fd3b904,1796362284022020,10,89,0x1bd39beab946e4ba26ae80d,0x1bd39beab9ad013d23ea111
50,0x6668c6e3b496e,1801603191097710,10,90,0x303edb109772a3418693f5f,0x303edb1097d90c086a488cd
50,0x6669d8aa4e70c,1801676682225420,10,88,0x8c50436b43bb6813ee723d,0x8c50436b4a22059e935949
50,0x66a08a53d478a,1805435224803210,10,90,0x26d987f5e03f79b5a9ba7b7,0x26d987f5e0a61a3ffd8ef41
50,0x672d9c14a2d74,1815129436597620,10,90,0x2589ebd0ede5992d63b9063,0x2589ebd0ee4cc6c9785bdd7
50,0x6765c824a1464,1818989555225700,10,90,0x2980423bbfc0299e9cac39d,0x2980423bc0278f66c14d801
50,0x67c4ab59375ce,1825510176028110,10,90,0x2fe0435d07ffd1f359461d1,0x2fe0435d0867969eb27d79f
50,0x6837634b15f9c,1833393573683100,10,90,0x2589e4e3a1071b1f507aaed,0x2589e4e3a16f52829b90a89
50,0x683950a67ae86,1833526008196742,12,65,0x168f8f0e4e15fc259,0x168ff7479ebc770df
50,0x685aced6aaf74,1835827624324980,10,91,0x7f928eeddddef278b686d49,0x7f928eedde474d478d31cbd
50,0x687515d8e57ec,1837633391974380,10,89,0x1847b85048161f9db5f7a2d,0x1847b850487e94b38edd219
50,0x68fbce23a0edc,1846891272343260,10,90,0x20c7d508126eba9ad17cbaf,0x20c7d50812d7b668f51da8b
50,0x69604f9ba12f2,1853797974020850,10,91,0x6415facfbb9e511ff6bd167,0x6415facfbc07b16f925e459
50,0x6960c8bf0fecc,1853830491864780,10,90,0x30e131f5cb6611625630909,0x30e131f5cbcf722b15407d5
50,0x69e5dd023a0b4,1862975621406900,10,91,0x4633941c282900db0d95d07,0x4633941c2892e6b80fcfdbb
50,0x6a105a24d7f3e,1865895430160190,10,88,0x9627b72437bf339da0039f,0x9627b7243e60393fed82dd
50,0x6a80c0b756460,1873619545580640,10,90,0x2f6286456c7583fefa6b51d,0x2f6286456ce004bfb1c197d
50,0x6ab51886b8c40,1877216529714240,10,91,0x627d31d5dfa6904bd89ff79,0x627d31d5e01145645f58bb9
50,0x6ae0fa3d4ccba,1880232056638650,10,88,0x8ec680683885b854d9ded3,0x8ec680683f33c7f8aeab8d
50,0x6aee39e69c1ac,1881142498804140,10,89,0x1104a79ee027abdce55660d,0x1104a79ee0929a16cbf27b9
