# Structural primorial-quotient fingerprint pool.
# Generated by scripts/build_known_fingerprints_primorial.py
# Ceilings: [41, 43, 47, 53, 59, 61, 67, 71]
# Drop counts: [0, 1, 2, 3]
# Pinned (always in D): [2, 3, 5]
# D bit band: [30, 85]
# Total variants emitted: 3000
#
# Format: P1*P2*... [# primorial=X# drop={...} bits=BB]
# (All variants here are squarefree; exponents implicit = 1.)
#
2*3*5*7*11*19*23*31*37*41  # primorial=41# drop={13,17,29} bits=36
2*3*5*7*11*19*29*31*37*41  # primorial=41# drop={13,17,23} bits=36
2*3*5*7*13*17*19*29*37*41  # primorial=41# drop={11,23,31} bits=36
2*3*5*7*13*17*19*31*37*41  # primorial=41# drop={11,23,29} bits=36
2*3*5*7*13*17*23*29*31*37  # primorial=41# drop={11,19,41} bits=36
2*3*5*7*13*17*23*29*31*41  # primorial=41# drop={11,19,37} bits=36
2*3*5*7*13*17*23*29*37*41  # primorial=41# drop={11,19,31} bits=36
2*3*5*7*13*17*23*31*37*41  # primorial=41# drop={11,19,29} bits=36
2*3*5*7*13*17*29*31*37*41  # primorial=41# drop={11,19,23} bits=36
2*3*5*7*13*19*23*29*31*37  # primorial=41# drop={11,17,41} bits=36
2*3*5*7*13*19*23*29*31*41  # primorial=41# drop={11,17,37} bits=36
2*3*5*7*13*19*23*29*37*41  # primorial=41# drop={11,17,31} bits=36
2*3*5*7*13*19*23*31*37*41  # primorial=41# drop={11,17,29} bits=36
2*3*5*7*17*19*23*29*31*37  # primorial=41# drop={11,13,41} bits=36
2*3*5*7*17*19*23*29*31*41  # primorial=41# drop={11,13,37} bits=36
2*3*5*7*17*19*23*29*37*41  # primorial=41# drop={11,13,31} bits=36
2*3*5*11*13*17*19*23*29*41  # primorial=41# drop={7,31,37} bits=36
2*3*5*11*13*17*19*23*31*37  # primorial=41# drop={7,29,41} bits=36
2*3*5*11*13*17*19*23*31*41  # primorial=41# drop={7,29,37} bits=36
2*3*5*11*13*17*19*23*37*41  # primorial=41# drop={7,29,31} bits=36
2*3*5*11*13*17*19*29*31*37  # primorial=41# drop={7,23,41} bits=36
2*3*5*11*13*17*19*29*31*41  # primorial=41# drop={7,23,37} bits=36
2*3*5*11*13*17*19*29*37*41  # primorial=41# drop={7,23,31} bits=36
2*3*5*11*13*17*19*31*37*41  # primorial=41# drop={7,23,29} bits=36
2*3*5*11*13*17*23*29*31*37  # primorial=41# drop={7,19,41} bits=36
2*3*5*11*13*17*23*29*31*41  # primorial=41# drop={7,19,37} bits=36
2*3*5*11*13*19*23*29*31*37  # primorial=41# drop={7,17,41} bits=36
2*3*5*7*11*23*29*31*37*41  # primorial=41# drop={13,17,19} bits=37
2*3*5*7*13*19*29*31*37*41  # primorial=41# drop={11,17,23} bits=37
2*3*5*7*13*23*29*31*37*41  # primorial=41# drop={11,17,19} bits=37
2*3*5*7*17*19*23*31*37*41  # primorial=41# drop={11,13,29} bits=37
2*3*5*7*17*19*29*31*37*41  # primorial=41# drop={11,13,23} bits=37
2*3*5*7*17*23*29*31*37*41  # primorial=41# drop={11,13,19} bits=37
2*3*5*7*19*23*29*31*37*41  # primorial=41# drop={11,13,17} bits=37
2*3*5*11*13*17*23*29*37*41  # primorial=41# drop={7,19,31} bits=37
2*3*5*11*13*17*23*31*37*41  # primorial=41# drop={7,19,29} bits=37
2*3*5*11*13*17*29*31*37*41  # primorial=41# drop={7,19,23} bits=37
2*3*5*11*13*19*23*29*31*41  # primorial=41# drop={7,17,37} bits=37
2*3*5*11*13*19*23*29*37*41  # primorial=41# drop={7,17,31} bits=37
2*3*5*11*13*19*23*31*37*41  # primorial=41# drop={7,17,29} bits=37
2*3*5*11*13*19*29*31*37*41  # primorial=41# drop={7,17,23} bits=37
2*3*5*11*13*23*29*31*37*41  # primorial=41# drop={7,17,19} bits=37
2*3*5*11*17*19*23*29*31*37  # primorial=41# drop={7,13,41} bits=37
2*3*5*11*17*19*23*29*31*41  # primorial=41# drop={7,13,37} bits=37
2*3*5*11*17*19*23*29*37*41  # primorial=41# drop={7,13,31} bits=37
2*3*5*11*17*19*23*31*37*41  # primorial=41# drop={7,13,29} bits=37
2*3*5*13*17*19*23*29*31*37  # primorial=41# drop={7,11,41} bits=37
