# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_exp.py (predicate: count exponent of q in (p+1) for q in [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# variant D: freq >= 10 (drops singleton/rare-pair tail)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5)
# format: P1[^e]*P2[^e]*... (^e omitted when e=1)
# total scanned: 1551489 CC10-99 roots
# raw unique exponent shapes: 28514
# after freq >= 10 filter: 4248 pool entries
# coverage of CC10+ data: 1501565/1551489 = 96.78%
# D_V bit-range: min=12.07 max=36.84 span=24.77 bits
2*3^2*5*7*11*13^2*19  # freq=1833 bits=24.41
2*3*5*11*13^2*19*23  # freq=1831 bits=24.54
2*3*5^2*11*13*19*43  # freq=1797 bits=24.06
2*3*5*11*13*17*19^2  # freq=1770 bits=24.65
2*3^2*5^2*11*13*19*29  # freq=1754 bits=25.08
2*3*5^2*7*11*13*17*19  # freq=1699 bits=25.53
2*3*5*7*11*13*19*61  # freq=1676 bits=25.05
2*3^3*5*11*13*19*37  # freq=1653 bits=24.69
2*3^3*5^2*7*11*13*19  # freq=1653 bits=24.61
2*3^2*5^2*11^2*13*19  # freq=1626 bits=23.68
2*3*5*11*13^3*19  # freq=1611 bits=23.72
2*3^3*5*11*13*19^2  # freq=1588 bits=23.73
2*3^2*5^2*11*13*19*23  # freq=1579 bits=24.75
2*3*5^2*7*11*13*19*29  # freq=1562 bits=26.30
2*3*5*11*13*17*19*41  # freq=1531 bits=25.76
2*3*5*7^3*11*13*19  # freq=1518 bits=24.74
2*3*5*11*13*19*29*37  # freq=1469 bits=26.38
2*3*5^2*11*13*19*53  # freq=1463 bits=24.36
2*3*5^3*11*13*17*19  # freq=1420 bits=25.05
2*3*5*11*13*19^2*29  # freq=1410 bits=25.42
2*3^2*5^2*11*13^2*19  # freq=1388 bits=23.92
2*3*5^2*7*11*13*19*23  # freq=1352 bits=25.97
2*3^2*5*7*11*13*19*37  # freq=1349 bits=25.92
2*3*5*11^2*13*19*37  # freq=1326 bits=24.98
2*3*5*11*13*17*19*47  # freq=1323 bits=25.96
2*3^2*5*7*11*13*19^2  # freq=1310 bits=24.95
2*3*5^2*7*11^2*13*19  # freq=1308 bits=24.90
2*3^4*5*11*13*17*19  # freq=1308 bits=25.16
2*3*5^2*11*13*19*59  # freq=1302 bits=24.52
2*3*5*11*13*17*19*31  # freq=1293 bits=25.36
2*3*5*11*13*19*29*41  # freq=1280 bits=26.53
2*3*5*7^2*11*13*17*19  # freq=1264 bits=26.02
2*3^3*5*11*13*19*41  # freq=1263 bits=24.84
2*3*5*11^2*13*19^2  # freq=1260 bits=24.02
2*3*5*11*13*17*19*43  # freq=1258 bits=25.83
2*3*5^2*11*13*19*61  # freq=1255 bits=24.57
2*3*5*11*13*19^2*23  # freq=1231 bits=25.09
2*3*5*11*13*19*23*37  # freq=1209 bits=26.05
2*3^2*5*11*13*17*19*29  # freq=1208 bits=26.85
2*3^3*5^3*11*13*19  # freq=1196 bits=24.13
2*3^3*5*7^2*11*13*19  # freq=1188 bits=25.10
2*3^3*5*11*13*19*31  # freq=1155 bits=24.44
2*3*5^3*11*13*19*29  # freq=1154 bits=25.82
2*3^2*5*11^2*13*17*19  # freq=1147 bits=25.45
2*3*5*7^2*11*13*19*29  # freq=1141 bits=26.79
2*3*5*11*13^2*19*37  # freq=1124 bits=25.22
2*3^6*5*11*13*19  # freq=1112 bits=24.24
2*3*5^2*7*11*13^2*19  # freq=1109 bits=25.14
2*3*5*11*13*19*29*31  # freq=1096 bits=26.13
2*3^2*5*7*11*13*19*41  # freq=1096 bits=26.06
2*3*5*11^2*13*19*41  # freq=1083 bits=25.13
2*3^2*5*11*13  # freq=1079 bits=13.65
2*3^3*5*11*13*19*47  # freq=1054 bits=25.04
2*3^4*5*11*13*19*29  # freq=1048 bits=25.93
2*3^2*5^3*7*11*13*19  # freq=1041 bits=25.35
2*3^3*5*11*13*19*43  # freq=1041 bits=24.91
2*3*5*11*13^2*19^2  # freq=1033 bits=24.26
2*3*5*11*13*19*23*41  # freq=1025 bits=26.20
2*3^2*5*11*13*17*19*23  # freq=985 bits=26.51
2*3*5*7^2*11^2*13*19  # freq=975 bits=25.39
2*3*5*7*11*13  # freq=973 bits=14.87
2*3*5^3*11^2*13*19  # freq=968 bits=24.42
2*3*5*11*13*19*23^2  # freq=967 bits=25.36
2*3*5^3*11*13*19*23  # freq=965 bits=25.48
2*3^2*5^2*11*13*19^2  # freq=965 bits=24.47
2*3*5*11*13*17*19*53  # freq=963 bits=26.13
2*3^2*5^2*11*13*19*37  # freq=961 bits=25.43
2*3*5*11*13*19*29*47  # freq=958 bits=26.73
2*3^2*5*7*11*13*19*31  # freq=958 bits=25.66
2*3*5*11*13*19*29*43  # freq=952 bits=26.60
2*3*5*11*13*19*23*31  # freq=950 bits=25.79
2*3*5*11^2*13*19*31  # freq=940 bits=24.73
2*3^3*5*7*11*13*17*19  # freq=939 bits=26.38
2*3^4*5*11^2*13*19  # freq=929 bits=24.53
2*3*5*11*13*17*19*59  # freq=918 bits=26.28
2*3*5*7^2*11*13*19*23  # freq=910 bits=26.45
2*3*5*11*13^2*19*41  # freq=909 bits=25.37
