# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_all.py (predicate: q in fp iff q|(p+1); palette [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# ALL unique immune fingerprints in CC10-99 band (1551489 roots scanned, 0 with empty raw fp)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5) — v16 requires D_V superset of D_sieve
# format: P1*P2*...*Pk  # freq=NNN bits=BB.B  (one D_V per line)
# total unique D_V: 1372
# D_V bit-range: min=12.07 max=47.37 span=35.31 bits
2*3*5*11*13*29  # freq=640 bits=16.92
2*3*5*7*11*13*17*19*61  # freq=600 bits=29.14
2*3*5*11*13*19*47*59  # freq=573 bits=27.75
2*3*5*11*13*19*43*59  # freq=564 bits=27.62
2*3*5*7*11*13*19*37*41  # freq=555 bits=29.69
2*3*5*11*13*19*31*61  # freq=553 bits=27.20
2*3*5*11*13*19*47*61  # freq=553 bits=27.80
2*3*5*11*13*19*43*61  # freq=539 bits=27.67
2*3*5*7*11*13*19*23*53  # freq=533 bits=29.37
2*3*5*7*11*13*19*29*59  # freq=521 bits=29.86
2*3*5*7*11*13*19*29*61  # freq=518 bits=29.91
2*3*5*11*13*17*19*29*37  # freq=506 bits=30.47
2*3*5*11*13*19*53*59  # freq=476 bits=27.93
2*3*5*7*11*13*19*23*61  # freq=453 bits=29.58
2*3*5*11*13*19*53*61  # freq=453 bits=27.97
2*3*5*11*13*17*19*23*37  # freq=446 bits=30.14
2*3*5*7*11*13*19*31*37  # freq=435 bits=29.29
2*3*5*11*13*17*19*29*41  # freq=427 bits=30.62
2*3*5*7*11*13*19*23*59  # freq=425 bits=29.53
2*3*5*7*11*13*19*37*47  # freq=407 bits=29.89
2*3*5*7*11*13*19*37*43  # freq=402 bits=29.76
2*3*5*11*13*37  # freq=380 bits=17.28
2*3*5*11*13*17*19*29*31  # freq=378 bits=30.21
2*3*5*7*11*13*19*31*41  # freq=366 bits=29.43
2*3*5*11*13*17*19*23*41  # freq=356 bits=30.28
2*3*5*7*11*13*19*41*43  # freq=352 bits=29.91
2*3*5*11*13*19*23*29*37  # freq=351 bits=30.91
2*3*5*11*13*19*59*61  # freq=336 bits=28.13
2*3*5*11*13*17*19*29*47  # freq=330 bits=30.81
2*3*5*7*11*13*17  # freq=326 bits=18.96
2*3*5*11*13*17*19*29*43  # freq=326 bits=30.69
2*3*5*7*11*13*19*37*53  # freq=324 bits=30.06
2*3*5*11*13*17*19*23*31  # freq=318 bits=29.88
2*3*5*7*11*13*19*31*47  # freq=313 bits=29.63
2*3*5*7*11*13*19*41*53  # freq=311 bits=30.21
2*3*5*11*13*41  # freq=306 bits=17.42
2*3*5*11*13*17*19*23*43  # freq=303 bits=30.35
2*3*5*7*11*13*19*31*43  # freq=295 bits=29.50
2*3*5*7*11*13*19*43*47  # freq=287 bits=30.10
2*3*5*7*11*13*19*41*47  # freq=278 bits=30.03
2*3*5*11*13*17*19*23*47  # freq=277 bits=30.48
2*3*5*7*11*13*19*37*59  # freq=272 bits=30.21
2*3*5*11*13*17*19*29*53  # freq=272 bits=30.99
2*3*5*7*11*13*17*19*23*29  # freq=267 bits=32.59
2*3*5*11*13*19*23*29*41  # freq=263 bits=31.05
2*3*5*11*13*31  # freq=262 bits=17.02
2*3*5*11*13*43  # freq=261 bits=17.49
2*3*5*7*11*13*19*41*59  # freq=260 bits=30.36
2*3*5*7*11*13*19*37*61  # freq=257 bits=30.26
2*3*5*11*13*17*19*29*59  # freq=256 bits=31.14
2*3*5*11*13*19*23*29*43  # freq=247 bits=31.12
2*3*5*11*13*47  # freq=246 bits=17.62
2*3*5*7*11*13*19*41*61  # freq=234 bits=30.41
2*3*5*11*13*17*19*23*53  # freq=234 bits=30.65
2*3*5*11*13*19*23*29*31  # freq=234 bits=30.65
2*3*5*7*11*13*19*31*53  # freq=229 bits=29.80
2*3*5*7*11*13*19*43*53  # freq=229 bits=30.28
2*3*5*11*13*19*23*29*47  # freq=225 bits=31.25
2*3*5*7*11*13*29  # freq=223 bits=19.73
2*3*5*11*13*17*19*29*61  # freq=223 bits=31.19
2*3*5*7*11*13*19*47*53  # freq=222 bits=30.40
2*3*5*11*13*17*19*37*41  # freq=211 bits=30.97
2*3*5*7*11*13*23  # freq=208 bits=19.40
2*3*5*11*13*17*19*23*59  # freq=204 bits=30.81
2*3*5*11*13*19*23*29*53  # freq=204 bits=31.42
2*3*5*11*13*17*19*31*37  # freq=200 bits=30.57
2*3*5*11*13*53  # freq=197 bits=17.79
